Input_1,Input_2,Input_3
0.9878136410050873,0.8900106343751121,0.7107113482795148
0.741788580335012,0.6915011794477515,0.3510172243621012
0.9304169016852327,0.27407091890753665,0.7535110561727533
0.9563230606118497,0.4127887175215303,0.05319357170895661
0.5417157274940266,0.14735000127849612,0.5960489767160531
0.5998714243635763,0.8007887476605159,0.22401979607735134
0.8811964025126455,0.47789868588024437,0.4869024713884448
0.36821485991257114,0.24884575004250808,0.676309846452401
0.519997201397523,0.9666913865787592,0.08985952908609074
0.4278389048338665,0.9570224666810402,0.25838411462967903
0.8975116341097333,0.19046334023790562,0.08646163486245279
0.01761056842472647,0.7907452375202442,0.6681046858772922
0.535690964660947,0.14225281484840135,0.8577675905142284
0.7692358756990041,0.8348678797850387,0.5056205308629713
0.014157498596673979,0.11539494550170987,0.6302017083826843
0.03808710067266957,0.9693351011710253,0.7996503519218339
0.20365934456751822,0.11769540876973716,0.913664676174957
0.8398241889764578,0.34084730627709403,0.21350635489537084
0.08761054411124491,0.1754482479995182,0.43482808382282545
0.2729455793238657,0.4424262495196089,0.8715296228729416
0.6584972143208901,0.2600116259207484,0.04999179498480061
0.38022350347852635,0.10937849148407469,0.05213036396699833
0.023926833651973012,0.5625276396201867,0.19740230518273466
0.7790175260303817,0.5123861709927569,0.9089376908197025
0.9741315389646464,0.062081516491440114,0.7038338982886544
0.8900162303324297,0.5854287490980005,0.8935414240858414
0.47273715114404374,0.2047209747660898,0.5588619324545095
0.12926296373906965,0.14147913495148062,0.1275156110827555
0.7925423059073295,0.7615840130662486,0.1397906170485751
0.00459986262715778,0.9567222350091844,0.63250703609138
0.1681082489405899,0.9464233962471479,0.706966552022681
0.6197286746259161,0.34299271510531176,0.7407454228575374
0.5852778190560005,0.5775149334951986,0.7677951969250287
0.9600130235232005,0.5406371564348333,0.09444108955417113
0.5110744175466755,0.6735653715081596,0.779997066450185
0.041349583007909585,0.43923600432475934,0.3914800340713675
0.8483144077338728,0.8866877899466042,0.9226483575287564
0.210253674114801,0.9718347735356698,0.0949373892965577
0.9226991807301017,0.3837942817638315,0.16500491155332409
0.09032664730081258,0.7824156333774479,0.2889817918424065
0.9951724098121404,0.8928960623014249,0.2808944562209821
0.0022194131901157044,0.19975047108463345,0.9724701429249116
0.20848714973927696,0.2373056790161232,0.6966836497498434
0.5776860727642342,0.8323682372901685,0.7150785648954315
0.24931152518560118,0.3119286870864287,0.7002533556157706
0.36038113868029364,0.06513861651807773,0.5853532563435335
0.6042672927206764,0.38057552110088966,0.6376512666046871
0.7018543897486811,0.5574091052901688,0.47026456612001805
0.5449250033414244,0.83554144983924,0.16919392461935323
0.841000457242089,0.1542843449539264,0.4818500306705343
0.481679666573125,0.3820639245233469,0.3713378201148341
0.9193242054037861,0.5458237932153196,0.09121822621807829
0.27382310702514084,0.2646676046952077,0.24564257908397247
0.3637532072250931,0.6939824511307622,0.3616619695026243
0.9038131695468093,0.1922633271882339,0.9031679349201317
0.5520988826420976,0.5187572975140397,0.335331592254949
0.7551846148206197,0.24580344368205853,0.2798546728295756
0.44161653881871354,0.9192931805047705,0.5014609444634445
0.174231115829806,0.3959388866880296,0.3759804858872856
