dVmax,ADP90,ADP50,Vreps,tdV
2.59956,100,92,-80.6806,5.89955
2.26082,149,139,-78.9692,5.87955
0.885965,149,140,-71.5049,5.86955
2.41402,106,96,-80.804,5.90955
2.1492,170,159,-78.6191,5.87955
0.733894,119,110,-70.1093,5.87955
1.3344,180,169,-74.6981,5.86955
1.92591,176,165,-77.6131,5.86955
1.02541,118,109,-72.8257,5.87955
1.42129,156,146,-75.0442,5.86955
1.31312,140,129,-75.2708,5.88955
1.0148,162,151,-73.1299,5.87955
1.62872,99,90,-76.8556,5.88955
2.01889,153,142,-79.0875,5.88955
2.36203,161,149,-80.9249,5.90955
3.2891,190,176,-84.6405,5.92955
1.5297,159,147,-76.7427,5.88955
1.95889,171,158,-78.7546,5.88955
2.08502,160,149,-78.1143,5.86955
2.8832,113,103,-83.4158,5.92955
3.07509,154,142,-83.7931,5.91955
0.846989,150,140,-71.3373,5.87955
0.962587,91,83,-72.7788,5.88955
1.39073,174,163,-75.3474,5.87955
1.03298,152,141,-73.3561,5.87955
1.56293,139,130,-75.707,5.86955
0.982103,175,165,-72.3023,5.86955
1.10749,139,129,-73.5532,5.87955
2.85517,140,129,-82.501,5.90955
1.56459,183,171,-76.0205,5.86955
1.84094,157,147,-76.8696,5.86955
1.08071,90,82,-72.8529,5.87955
0.957264,74,66,-72.9425,5.89955
3.30801,161,149,-84.635,5.92955
1.29684,169,158,-74.8859,5.87955
0.93565,128,118,-72.4229,5.87955
1.13714,152,141,-74.18,5.87955
0.787262,74,66,-71.1386,5.89955
2.07667,174,162,-78.3362,5.86955
0.893654,141,131,-72.0436,5.87955
3.75361,112,102,-87.1355,5.96955
0.867102,156,146,-71.5146,5.87955
1.51034,125,115,-76.2982,5.88955
2.60152,164,152,-80.9953,5.88955
1.10958,154,144,-73.773,5.87955
2.36296,182,169,-81.3536,5.90955
1.88503,151,139,-78.5398,5.88955
2.34912,176,163,-80.6826,5.89955
2.90097,185,172,-82.2302,5.89955
2.91767,162,149,-83.2031,5.91955
2.86761,162,150,-82.0557,5.89955
1.00648,137,128,-72.4097,5.86955
1.42399,115,105,-75.7896,5.88955
1.19052,163,152,-74.3706,5.87955
1.2363,171,160,-74.2568,5.86955
2.89572,188,173,-84.6797,5.93955
1.96053,186,174,-78.1676,5.87955
0.922316,94,86,-72.1293,5.88955
1.85933,124,114,-78.3821,5.89955
1.91349,152,141,-78.3838,5.88955
2.38613,183,170,-80.6075,5.89955
2.30338,184,171,-80.0656,5.88955
0.877136,156,146,-71.7246,5.87955
3.45158,160,147,-86.4393,5.95955
0.975891,129,120,-72.0612,5.86955
1.11011,175,164,-73.2754,5.86955
3.14721,127,115,-85.5265,5.95955
3.74785,127,116,-87.5196,5.96955
3.33404,189,174,-85.6728,5.93955
3.86483,172,159,-87.5035,5.95955
0.90291,154,144,-71.6921,5.86955
2.63026,183,170,-81.6626,5.89955
2.36453,128,118,-79.5483,5.88955
0.987499,165,155,-72.4932,5.86955
1.66267,148,138,-76.5866,5.87955
1.65175,183,172,-76.1277,5.86955
2.21555,168,157,-78.6048,5.86955
3.09783,150,137,-85.7335,5.95955
1.43131,156,145,-75.7053,5.87955
3.21434,189,175,-84.8046,5.92955
0.86187,79,71,-71.953,5.89955
3.0725,183,169,-84.9689,5.93955
1.24397,91,83,-74.1017,5.87955
3.31393,146,135,-84.0695,5.91955
0.877865,178,168,-71.1933,5.86955
3.06109,165,152,-84.3459,5.92955
0.797264,130,121,-71.1422,5.87955
3.14094,198,184,-84.6901,5.92955
0.937162,84,76,-72.4025,5.88955
1.98023,120,109,-79.251,5.89955
0.983614,157,147,-72.1557,5.86955
0.937454,137,127,-72.5031,5.87955
2.93269,173,159,-84.8618,5.94955
1.13845,149,139,-73.3945,5.86955
1.89956,90,82,-77.2845,5.87955
2.00035,129,119,-78.011,5.87955
0.907034,96,87,-72.4197,5.88955
2.98562,174,161,-84.2102,5.92955
2.24156,184,172,-79.486,5.87955
1.36384,165,154,-74.9874,5.86955
0.882397,146,136,-71.9053,5.87955
2.50579,194,181,-80.6179,5.88955
1.9722,175,163,-78.4993,5.87955
2.95381,198,183,-83.3372,5.91955
0.866911,80,73,-71.5117,5.88955
2.01943,159,147,-78.7321,5.88955
0.954203,160,151,-71.9282,5.86955
1.16753,116,107,-74.4144,5.88955
2.43917,180,167,-81.0586,5.89955
3.34474,201,186,-85.002,5.92955
1.13414,163,153,-73.6704,5.87955
3.04795,172,158,-85.1388,5.94955
1.1838,112,103,-74.2564,5.88955
3.13749,192,179,-83.1747,5.90955
1.79642,184,172,-77.291,5.86955
3.33633,200,185,-85.9445,5.94955
2.97118,192,179,-83.1585,5.90955
0.835287,140,131,-70.9868,5.86955
1.64255,181,169,-76.6554,5.87955
3.4804,139,127,-87.0106,5.96955
1.35853,122,114,-74.5114,5.86955
2.29828,153,143,-79.2688,5.87955
3.73949,204,190,-86.3863,5.93955
1.34532,166,155,-74.8569,5.86955
1.43694,147,138,-75.0751,5.86955
1.66908,106,97,-76.7131,5.87955
3.31859,156,144,-85.3385,5.93955
1.65465,146,134,-77.4681,5.88955
2.50911,160,149,-80.163,5.87955
2.03483,105,95,-79.6685,5.90955
1.04727,119,110,-72.7696,5.87955
2.70692,193,179,-81.9839,5.89955
1.80936,161,150,-76.944,5.86955
1.34982,158,148,-75.1529,5.87955
1.06048,157,147,-73.1646,5.87955
2.44055,101,93,-79.7265,5.88955
0.943167,162,152,-72.0386,5.86955
2.53412,135,123,-81.7109,5.90955
0.74025,130,121,-70.1765,5.87955
2.14292,177,165,-78.885,5.87955
1.37417,153,143,-74.8205,5.86955
1.75069,157,147,-76.9809,5.87955
1.55268,134,124,-75.5975,5.86955
1.77191,103,94,-77.504,5.88955
3.25623,113,103,-84.1594,5.92955
1.85481,148,137,-78.2385,5.88955
3.34336,203,188,-85.5873,5.93955
2.1995,179,166,-80.0977,5.89955
2.79088,197,184,-82.0096,5.89955
1.51405,106,97,-76.079,5.88955
1.41107,168,157,-75.544,5.87955
1.68526,169,158,-76.8322,5.87955
0.955822,173,163,-72.1986,5.86955
2.12511,182,171,-78.1838,5.86955
1.01027,156,146,-72.75,5.87955
2.31171,165,152,-80.9279,5.90955
1.55152,172,161,-75.88,5.86955
3.04739,153,142,-82.5763,5.89955
0.787718,101,93,-70.918,5.88955
1.80194,115,105,-78.1671,5.89955
1.97089,90,82,-78.5244,5.89955
1.1519,143,133,-73.9891,5.87955
2.23988,126,115,-80.2449,5.90955
1.50184,166,155,-75.9383,5.87955
2.15118,99,91,-78.9077,5.88955
0.866005,104,96,-71.3942,5.87955
3.32409,179,166,-85.277,5.93955
1.08662,163,152,-73.2918,5.86955
2.18533,183,170,-79.2991,5.87955
